StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,1_interesting_1,2_interesting_2,3_interesting_3,4_interesting_4,5_interesting_5,6_interesting_6,7_interesting_7,8_interesting_8,9_interesting_9,10_interesting_10,11_interesting_11,12_interesting_12,13_interesting_13,14_interesting_14,15_interesting_15,16_interesting_16,17_interesting_17,18_interesting_18,19_interesting_19,20_interesting_20,21_interesting_21,22_interesting_22,23_interesting_23,24_interesting_24,25_interesting_25,26_interesting_26,27_interesting_27,28_interesting_28,29_interesting_29,30_interesting_30,31_interesting_31,32_interesting_32,33_interesting_33,34_interesting_34,35_interesting_35,36_interesting_36,37_interesting_37,38_interesting_38,39_interesting_39,40_interesting_40,Age,Gender,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,Education,screener1_nicks,Income,Party,Party_6_TEXT,screener2_1,screener2_2,screener2_3,screener2_4,screener2_5,screener2_6,Social_Conserv,Economic_Conserv,god,Q215,Q216,Q217,screener3_1,screener3_2,screener3_3,screener3_4,screener3_5,screener3_6,screener3_7,screener3_8,screener3_9,screener3_9_TEXT,1_belief1_1,1_belief2_1,2_belief1_2,2_belief2_2,3_belief1_3,3_belief2_3,4_belief1_4,4_belief2_4,5_belief1_5,5_belief2_5,6_belief1_6,6_belief2_6,7_belief1_7,7_belief2_7,8_belief1_8,8_belief2_8,9_belief1_9,9_belief2_9,10_belief1_10,10_belief2_10,11_belief1_11,11_belief2_11,12_belief1_12,12_belief2_12,13_belief1_13,13_belief2_13,14_belief1_14,14_belief2_14,15_belief1_15,15_belief2_15,16_belief1_16,16_belief2_16,17_belief1_17,17_belief2_17,18_belief1_18,18_belief2_18,19_belief1_19,19_belief2_19,20_belief1_20,20_belief2_20,21_belief1_21,21_belief2_21,22_belief1_22,22_belief2_22,23_belief1_23,23_belief2_23,24_belief1_24,24_belief2_24,25_belief1_25,25_belief2_25,26_belief1_26,26_belief2_26,27_belief1_27,27_belief2_27,28_belief1_28,28_belief2_28,29_belief1_29,29_belief2_29,30_belief1_30,30_belief2_30,31_belief1_31,31_belief2_31,32_belief1_32,32_belief2_32,33_belief1_33,33_belief2_33,34_belief1_34,34_belief2_34,35_belief1_35,35_belief2_35,36_belief1_36,36_belief2_36,37_belief1_37,37_belief2_37,38_belief1_38,38_belief2_38,39_belief1_39,39_belief2_39,40_belief1_40,40_belief2_40,Random,Google,Comments,Length,mTurkCode,participantId,assignmentId,projectId,loopOrder,condition,FL_71_DO_FL_72,FL_71_DO_FL_73
12/23/2023 15:31,12/23/2023 15:39,0,73.52.25.176,100,500,1,12/23/2023 15:39,R_77wrQe9KOE7y5Y5,,,,,40.8974,-77.7722,anonymous,EN,919FE9C8241B4D9384F98DCD217F87A7,3,,0,,0,,,,,,,0,0,0,0,0,0,,,0,3,3,,0,,,,3,,,0,,0,,3,0,3,,,0,68,1,1,,,,,,,7,3,3,1,,,,1,,1,,2,2,1,,2,Half the country falsely thinks that Trump won the 2020 election.,,,,1,,,1,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,2,2,,8,,919FE9C8241B4D9384F98DCD217F87A7,4d29f469-a212-46a8-bd09-9af4b962d21f,23af22bc-d7df-4740-9286-2ced33fd07a5,,2,,1
12/23/2023 15:31,12/23/2023 15:41,0,98.199.111.185,100,609,1,12/23/2023 15:41,R_7LMDS99NUJcV1zH,,,,,29.4578,-95.0342,anonymous,EN,6FE3E7209DA943E3A29F83EAF4CE4639,0,,0,0,0,,,0,0,0,,0,,0,0,0,0,0,,,0,,,,3,3,,,,0,,0,,,3,,,0,,,63,1,1,,,,,,,5,5,4,3,,,,1,,1,,2,4,7,,,UFO's,,,,1,,,1,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,2,,10 to 15,,6FE3E7209DA943E3A29F83EAF4CE4639,2fb7389a-b7d0-446d-bd9e-57796075f5b8,23af22bc-d7df-4740-9286-2ced33fd07a5,,1,1,
12/23/2023 15:31,12/23/2023 15:44,0,71.193.198.149,100,793,1,12/23/2023 15:44,R_7w45XsgO5baZhLL,,,,,45.5221,-122.8585,anonymous,EN,D9189500C34443EE8B05E4F6EA2DA04F,3,,3,3,3,,3,,,,3,3,3,,,3,3,3,,,3,3,,0,,3,,,3,,,,,,3,0,,,3,0,63,2,1,,,,,,,5,5,6,1,,,,1,,1,,1,1,6,,2,Anything involving national security or diplomatic relations to the extent where some of the information is classified would fall into this category. On a narrower scale various crimes involving minors whether they are the alleged perpetrators or victims could fall under this. Various lawsuits that were settled out of court may have restrictions on disclosing the terms. ,,,,1,,,1,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,1,,1,,1,,1,2,2,When I found various headlines interesting that didn’t usually mean I thought they were real headlines but rather that I thought they were interesting as comedic fodder. ,14,,D9189500C34443EE8B05E4F6EA2DA04F,63536f0b-4e26-46d2-a64f-3a4a56de5b29,23af22bc-d7df-4740-9286-2ced33fd07a5,,2,,1
12/23/2023 15:32,12/23/2023 15:45,0,172.59.32.194,100,789,1,12/23/2023 15:45,R_62AkFcc0Zg6FXc7,,,,,40.0818,-82.9665,anonymous,EN,CF4DCD9BB106425A95773B519803438B,,,3,,3,,3,,,,3,3,3,,,3,3,3,3,3,,,,,3,,3,,3,3,,,3,3,3,,,,3,3,40,1,,1,,,,,,6,5,11,2,,,,1,,1,,4,4,8,2,,"January 6th ""insurrection""",,,,1,,,1,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,2,2,no,20,,CF4DCD9BB106425A95773B519803438B,5038e6f7-909a-4557-8902-077c6cfbbb81,23af22bc-d7df-4740-9286-2ced33fd07a5,,1,1,
12/23/2023 15:35,12/23/2023 15:47,0,98.144.83.201,100,722,1,12/23/2023 15:47,R_3KTmXG9XNGay41U,,,,,45.0874,-87.6697,anonymous,EN,ADDBE78355E240D8AF1E859572FDF233,,0,0,,,,0,0,0,,,0,,,,,0,0,0,,,0,0,0,3,3,3,0,,3,,0,,,3,,0,,,,65,2,1,,,,,,,5,5,3,1,,,,1,,1,,1,2,8,,2,"The official explanation for the JFK assassination is still in question. Many people believe there was a lone shooter, but many do not.",,,,1,,,1,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,1,,0,,1,,1,,2,2,,11,,ADDBE78355E240D8AF1E859572FDF233,188d54f2-2301-411c-b4b2-e3c6589991fb,23af22bc-d7df-4740-9286-2ced33fd07a5,,1,1,
12/23/2023 15:34,12/23/2023 15:48,0,68.229.73.86,100,800,1,12/23/2023 15:48,R_3uMIlTB9QLfo0b7,,,,,41.5041,-72.9167,anonymous,EN,60C203D375EB48389212BAA4174EC8C6,,0,,,0,,0,0,0,,0,0,,0,,0,,,,0,,,3,,3,0,,,0,3,3,3,,3,,,3,0,,,40,1,1,,,,,,,5,5,7,1,,,,1,,1,,2,1,1,,2,The death of Jeffrey Epstein in prison.,,,,1,,,1,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,2,2,,10,,60C203D375EB48389212BAA4174EC8C6,56ad8779-8e97-4153-9342-3361adadd4d5,23af22bc-d7df-4740-9286-2ced33fd07a5,,2,,1
12/23/2023 15:32,12/23/2023 15:49,0,108.4.113.250,100,1039,1,12/23/2023 15:49,R_7NTKbqetIk4QCu5,,,,,37.5453,-77.9187,anonymous,EN,7B2F0F05DADA48C482C0C20C13BD61A1,0,,,0,,3,,,3,0,3,,0,,,,,,3,0,,0,,,3,0,0,3,0,,,0,0,,3,,0,0,,,44,2,,1,,,,,,5,5,9,1,,,,1,,1,,2,3,8,,2,The reason behind extreme inflation of the cost of goods in particular groceries. ,,,,1,,,1,,,,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,1,,1,2,2,,15,,7B2F0F05DADA48C482C0C20C13BD61A1,499eca33-4a89-4dd3-8b90-cefd917fb4ae,23af22bc-d7df-4740-9286-2ced33fd07a5,,2,,1
12/23/2023 15:31,12/23/2023 15:50,0,99.167.213.144,100,1150,1,12/23/2023 15:50,R_7wTuJUBzjUtVBbx,,,,,34.0785,-118.0356,anonymous,EN,1A0314D120FB4A51A37CB97DD9F8C766,,,0,0,0,,0,0,0,,0,,0,,0,,0,,,0,3,,0,,,3,0,,,3,,0,,,,0,0,,0,,30,2,,,,1,,,,3,5,3,1,,,,1,,1,,1,1,8,,2,Area 51,,,,1,,,1,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,0,,0,,1,,1,,1,2,2,,9,,1A0314D120FB4A51A37CB97DD9F8C766,fc77a88c-607e-4520-a79d-640b4504c32d,23af22bc-d7df-4740-9286-2ced33fd07a5,,2,,1
12/23/2023 15:31,12/23/2023 15:50,0,68.204.208.53,100,1163,1,12/23/2023 15:50,R_5gGQ1GW3mrGsN1v,,,,,28.5723,-81.3228,anonymous,EN,85C92CDBAC71452684E2566DAB6C7342,,0,,0,,0,,,0,,0,,0,,,0,,,0,,,3,3,3,3,3,3,,,3,3,,,,,0,3,,3,0,62,2,1,,,,,,,4,5,7,1,,,,1,,1,,1,2,1,,2,Castro may have had something to do with the Kennedy assassination,,,,1,,,1,,,,,0,,1,,0,,1,,1,,0,,1,,1,,1,,0,,1,,1,,1,,0,,0,,1,,0,,0,,1,,1,,0,,1,,1,,0,,0,,1,,1,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,1,,0,2,2,no,14,,85C92CDBAC71452684E2566DAB6C7342,7751a1a6-a2a7-4285-833c-2774beff7730,23af22bc-d7df-4740-9286-2ced33fd07a5,,2,,1
12/23/2023 15:42,12/23/2023 15:51,0,24.255.58.34,100,501,1,12/23/2023 15:51,R_75KkMGa0JBaQDId,,,,,31.5402,-110.267,anonymous,EN,12FDF1E462534A958855E4C0F43B052D,0,0,0,,,0,,0,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,,0,,,,,,,,0,,,0,32,2,1,,,,,,,2,5,1,3,,,,1,,1,,3,3,6,,,politics,,,,1,,,1,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,2,thank you,10,,12FDF1E462534A958855E4C0F43B052D,ef802868-9169-42c9-b510-e2fbb02a9a41,23af22bc-d7df-4740-9286-2ced33fd07a5,,1,1,
