StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Age,Gender,screener1_nicks,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6,Ethnicity_6_TEXT,1_interesting_1,2_interesting_2,3_interesting_3,4_interesting_4,5_interesting_5,6_interesting_6,7_interesting_7,8_interesting_8,9_interesting_9,10_interesting_10,11_interesting_11,12_interesting_12,13_interesting_13,14_interesting_14,15_interesting_15,16_interesting_16,17_interesting_17,18_interesting_18,19_interesting_19,20_interesting_20,21_interesting_21,22_interesting_22,23_interesting_23,24_interesting_24,25_interesting_25,26_interesting_26,27_interesting_27,28_interesting_28,29_interesting_29,30_interesting_30,31_interesting_31,32_interesting_32,33_interesting_33,34_interesting_34,35_interesting_35,36_interesting_36,37_interesting_37,38_interesting_38,39_interesting_39,40_interesting_40,education,Income,Party,Party_6_TEXT,screener2_1,screener2_2,screener2_3,screener2_4,screener2_5,screener2_6,Social_Conserv,Economic_Conserv,god,Q215,Q216,Q219,Q218,screener3_1,screener3_2,screener3_3,screener3_4,screener3_5,screener3_6,screener3_7,screener3_8,screener3_9,screener3_9_TEXT,1_belief1_1,1_belief2_1,2_belief1_2,2_belief2_2,3_belief1_3,3_belief2_3,4_belief1_4,4_belief2_4,5_belief1_5,5_belief2_5,6_belief1_6,6_belief2_6,7_belief1_7,7_belief2_7,8_belief1_8,8_belief2_8,9_belief1_9,9_belief2_9,10_belief1_10,10_belief2_10,11_belief1_11,11_belief2_11,12_belief1_12,12_belief2_12,13_belief1_13,13_belief2_13,14_belief1_14,14_belief2_14,15_belief1_15,15_belief2_15,16_belief1_16,16_belief2_16,17_belief1_17,17_belief2_17,18_belief1_18,18_belief2_18,19_belief1_19,19_belief2_19,20_belief1_20,20_belief2_20,21_belief1_21,21_belief2_21,22_belief1_22,22_belief2_22,23_belief1_23,23_belief2_23,24_belief1_24,24_belief2_24,25_belief1_25,25_belief2_25,26_belief1_26,26_belief2_26,27_belief1_27,27_belief2_27,28_belief1_28,28_belief2_28,29_belief1_29,29_belief2_29,30_belief1_30,30_belief2_30,31_belief1_31,31_belief2_31,32_belief1_32,32_belief2_32,33_belief1_33,33_belief2_33,34_belief1_34,34_belief2_34,35_belief1_35,35_belief2_35,36_belief1_36,36_belief2_36,37_belief1_37,37_belief2_37,38_belief1_38,38_belief2_38,39_belief1_39,39_belief2_39,40_belief1_40,40_belief2_40,Random,Google,Comments,Length,mTurkCode,participantId,assignmentId,projectId,rid,gender,hhi,ethnicity,hispanic,education,political_party,region,zip,loopOrder,condition,FL_71_DO_FL_72,FL_71_DO_FL_73
3/18/2024 9:05,3/18/2024 9:06,0,70.124.137.57,100,18,1,3/18/2024 9:06,R_1FubMfs6RCgwsr7,,,,,30.1826,-97.7394,anonymous,EN,20,1,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65f85848-b64a-a1ff-d4a0-e6a2ed2ef133,1,3,15,8,,,3,78748,,,,
3/18/2024 9:08,3/18/2024 9:09,0,166.198.250.91,100,11,1,3/18/2024 9:09,R_6hF9E93o8brl8y6,,,,,32.5845,-97.3741,anonymous,EN,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65f858fe-46d9-159d-e46f-88f20bb8e8d5,2,1,1,10,,3,3,76570,,,,
3/18/2024 9:06,3/18/2024 9:13,0,24.163.82.200,100,463,1,3/18/2024 9:13,R_1Sbd357sUoPhoHf,,,,,36.0229,-78.9464,anonymous,EN,75,2,5,1,,,,,,,,,,0,,,0,0,0,0,,0,0,0,,0,0,0,0,,,,,,3,,,,,,0,0,,0,0,,0,0,,0,,6,1,,,,1,,1,,1,1,1,,2,2,,1,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,1,,1,,0,,1,,0,,1,,1,,1,,1,2,2,Very weird posts for sure,5,,,,,65f8585d-bede-6921-a3a8-588301340f5b,2,11,1,1,10,1,3,27712,,2,,1
3/18/2024 9:07,3/18/2024 9:15,0,67.170.36.224,100,444,1,3/18/2024 9:15,R_7f0CQIikNBqRc4V,,,,,47.9856,-122.2002,anonymous,EN,56,2,5,1,,,,,,,0,0,,,0,0,,,,,,0,0,0,0,0,,,0,0,0,0,,0,,,0,,0,,0,0,,,,0,,,,0,,3,3,,,,1,,1,,3,3,1,,,,,,,,1,,,1,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,2,2,no,5,,,,,65f8587a-86dd-f8fb-1238-e73d7d6a78bd,2,5,1,1,,1,4,98204,,2,,1
3/18/2024 9:05,3/18/2024 9:16,0,172.59.121.33,100,639,1,3/18/2024 9:16,R_3CBBmbRimjrID3i,,,,,35.4834,-97.6315,anonymous,EN,62,1,5,1,,,,,,,3,3,0,0,,,0,,3,3,0,,0,3,3,,,,,0,,,3,,,0,,,0,,,0,,,3,0,3,,,0,,1,3,,1,,,,,,4,2,8,,,,,,,,,,1,,,,,1,,0,,1,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,1,,1,,0,,0,,0,,1,,0,,1,,0,,1,,1,,0,,0,,1,,0,,1,,1,,2,1,it   was   fun   and  educational,40,,,,,65f85813-a04e-166b-d05c-59214664d414,1,5,1,1,3,3,3,73099,,1,1,
3/18/2024 9:05,3/18/2024 9:16,0,174.48.168.196,100,661,1,3/18/2024 9:16,R_1hA0B4677egWXm1,,,,,26.4525,-80.1562,anonymous,EN,78,2,5,1,,,,,,,0,,0,,0,,,0,0,,0,0,,0,,0,0,0,0,,3,,3,,3,3,,3,3,,0,,,,,0,,,,,,11,1,,,,1,,1,,2,2,1,,2,2,,,,,1,,,1,,,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,1,,0,,1,,1,,1,,1,,1,,0,,1,,1,,0,,0,,0,,0,,1,,1,,1,,2,2,no,15,,,,,65f85820-63b5-cf72-1b80-98118aa20f24,2,22,1,1,10,1,3,33446,,1,1,
3/18/2024 9:09,3/18/2024 9:19,0,174.244.16.178,100,615,1,3/18/2024 9:19,R_3n6nt4rBMAeAmoh,,,,,32.9958,-96.7882,anonymous,EN,52,2,5,1,,,,,,,,,,0,,,0,3,0,0,,3,3,3,,3,0,,0,,,3,0,,3,,0,,,,3,,3,,3,3,,,3,,,1,2,,,,1,,1,,4,4,8,2,,,2,,,,1,,,1,,,,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,1,,0,,0,,1,,1,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,,1,2,2,"Very interesting survey. When answering about most Americans feelings on truthfulness of each post, I answered with my own opinion and not the average Americans.",12,,,,,65f85913-6a1f-eed2-8ce5-3f5fd567b396,2,1,1,1,,2,3,75773,,2,,1
3/18/2024 9:08,3/18/2024 9:20,0,73.154.232.101,100,743,1,3/18/2024 9:20,R_1FnCeYNEzUUdbE3,,,,,40.4442,-79.9557,anonymous,EN,77,1,5,1,,,,,,,,0,0,0,3,,,0,0,,,0,,0,,,,3,,0,3,,3,3,3,,0,,3,3,,,,,0,0,,,,0,,7,1,,,,,,1,,3,3,8,,2,2,,,,,,,1,,,,,,0,,0,,0,,0,,1,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,0,,1,,1,,1,,1,,0,,0,,1,,1,,0,,1,,1,,0,,0,,1,,1,,1,,1,,1,1,2,n/a,12,,,,,65f858c3-eccd-264d-a46a-f923b7490de3,1,,1,1,,,1,15690,,2,,1
3/18/2024 9:08,3/18/2024 9:21,0,24.99.19.68,100,744,1,3/18/2024 9:21,R_1Xpnw3RO9Fb2GFH,,,,,33.8907,-84.7,anonymous,EN,58,2,5,1,,,,,,,,0,0,,0,,3,,3,,0,,0,,,3,,,0,0,,3,3,3,3,,3,,,3,0,,,3,3,,3,,,,,7,1,,1,,,,,,5,5,8,,2,2,,,,,1,1,,1,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,,0,,0,,0,,1,,0,,1,,0,,0,,0,,1,,0,1,2,Nothing ,6,,,,,65f858c9-4721-3104-1224-9320b36b4cd0,2,14,1,1,,1,3,30127,,2,,1
3/18/2024 9:10,3/18/2024 9:28,0,68.81.125.155,100,1119,1,3/18/2024 9:28,R_2Ii7q14KW63EPKw,,,,,40.1154,-75.0244,anonymous,EN,54,1,5,1,,,,,,,0,,,0,,0,0,,0,0,3,,3,,3,3,,,,,0,0,,,0,,0,0,,3,3,0,3,,3,,,,,,,11,2,,,,1,,1,,3,3,8,1,,,1,,,,1,,,1,,,,,1,,0,,0,,0,,0,,1,,0,,0,,1,,1,,0,,1,,1,,1,,1,,0,,0,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,0,,1,,1,,0,,1,,1,,1,,1,,1,,1,,1,,1,,1,2,2,No,Not sure,,,,,65f8594d-2650-a429-d967-d427cab934cb,1,21,1,1,7,2,1,19154,,2,,1
